Time[s], Channel 0, Channel 1, Channel 2, Channel 3, button 5 (dpi)
-0.00038866, 0, 0, 0, 0, 1
-0.00038864, 0, 0, 1, 0, 1
-0.00038854, 1, 0, 1, 0, 1
-0.00038842, 0, 0, 1, 0, 1
-0.00038838, 0, 0, 0, 0, 1
-0.00038828, 1, 0, 0, 0, 1
-0.00038816, 0, 0, 0, 0, 1
-0.00038804, 1, 0, 0, 0, 1
-0.00038792, 0, 0, 0, 0, 1
-0.00038778, 1, 0, 0, 0, 1
-0.00038766, 0, 0, 0, 0, 1
-0.00038754, 1, 0, 0, 0, 1
-0.00038742, 0, 0, 0, 0, 1
-0.00038728, 1, 0, 0, 0, 1
-0.00038716, 0, 0, 0, 0, 1
-0.00038714, 0, 1, 0, 0, 1
-0.00038704, 1, 1, 0, 0, 1
-0.00038692, 0, 1, 0, 0, 1
-0.00038678, 1, 1, 0, 0, 1
-0.00038666, 0, 1, 0, 0, 1
-0.00038664, 0, 1, 1, 0, 1
-0.00038654, 1, 1, 1, 0, 1
-0.00038642, 0, 1, 1, 0, 1
-0.00038640, 0, 0, 1, 0, 1
-0.00038638, 0, 0, 0, 0, 1
-0.00038628, 1, 0, 0, 0, 1
-0.00038616, 0, 0, 0, 0, 1
-0.00038604, 1, 0, 0, 0, 1
-0.00038592, 0, 0, 0, 0, 1
-0.00038578, 1, 0, 0, 0, 1
-0.00038566, 0, 0, 0, 0, 1
-0.00038564, 0, 1, 0, 0, 1
-0.00038554, 1, 1, 0, 0, 1
-0.00038542, 0, 1, 0, 0, 1
-0.00038540, 0, 0, 0, 0, 1
-0.00038538, 0, 0, 1, 0, 1
-0.00038528, 1, 0, 1, 0, 1
-0.00038516, 0, 0, 1, 0, 1
-0.00038514, 0, 0, 0, 0, 1
-0.00038504, 1, 0, 0, 0, 1
-0.00038492, 0, 0, 0, 0, 1
-0.00038488, 0, 0, 1, 0, 1
-0.00038478, 1, 0, 1, 0, 1
-0.00038466, 0, 0, 1, 0, 1
-0.00038454, 1, 0, 1, 0, 1
-0.00038442, 0, 0, 1, 0, 1
-0.00038438, 0, 0, 0, 0, 1
-0.00038428, 1, 0, 0, 0, 1
-0.00038416, 0, 0, 0, 0, 1
-0.00038404, 1, 0, 0, 0, 1
-0.00038392, 0, 0, 0, 0, 1
